Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Romania,MtCO2e,71.83,53.92,25.19,23.75,34.24,40.13,39.00,33.70,27.86,24.81,26.47,27.14,27.31,26.55,27.17,27.77,26.51,26.54,24.85,17.40,17.90,18.86,18.68,17.01,17.35,17.91,17.28,17.45,18.22,18.73
Czech Republic,MtCO2e,48.29,38.24,43.92,36.37,30.94,29.98,28.96,28.45,26.98,23.41,27.78,25.88,23.72,24.02,24.50,23.96,23.85,22.70,22.02,20.96,17.60,17.51,17.29,16.26,16.42,16.90,16.90,17.48,17.61,16.79
Austria,MtCO2e,14.28,14.94,13.37,13.76,13.67,13.77,14.03,15.33,14.34,13.54,14.84,14.74,14.58,15.58,15.82,14.95,15.38,15.31,15.65,14.33,14.78,14.81,14.70,14.32,14.04,14.24,14.57,14.37,14.16,14.02
Peru,MtCO2e,5.37,5.87,5.37,5.97,5.95,7.29,7.90,8.03,8.41,9.35,9.65,8.95,9.47,9.13,10.47,10.89,10.63,12.35,12.24,12.54,11.61,12.18,12.23,13.85,14.18,14.43,13.25,13.26,13.76,13.98
Morocco,MtCO2e,7.31,8.23,8.66,7.79,8.34,7.43,8.36,8.49,8.57,9.00,8.98,9.82,9.64,8.51,10.08,11.10,11.75,12.33,13.02,13.15,13.37,14.19,15.09,15.25,13.30,13.15,12.58,14.00,13.97,13.79
Greece,MtCO2e,18.04,17.92,17.49,18.07,18.64,21.26,22.73,23.18,23.60,23.41,23.06,22.58,22.17,21.45,20.86,21.35,21.22,22.19,20.07,16.13,15.94,13.58,14.56,15.24,15.89,15.99,16.67,14.93,14.03,13.03
Kenya,MtCO2e,2.06,2.02,2.14,2.20,2.30,2.36,2.72,2.43,2.21,2.12,2.28,2.46,2.74,2.66,2.69,3.08,3.64,3.70,3.81,4.05,4.89,5.66,5.09,5.70,7.05,7.90,8.28,8.14,7.29,12.51
Libya,MtCO2e,3.28,3.28,3.47,3.12,4.09,4.24,4.44,4.52,4.71,4.86,5.09,5.23,5.28,5.39,6.03,6.18,5.90,6.02,7.16,8.28,7.90,6.24,5.12,7.20,9.47,7.96,9.69,10.72,10.74,10.75
Myanmar,MtCO2e,1.14,1.14,1.32,0.92,1.12,1.18,1.21,1.44,1.29,1.52,2.55,2.52,1.63,2.76,2.06,2.20,2.13,2.09,2.22,2.33,2.56,2.66,4.03,4.44,5.46,5.80,4.92,10.39,10.14,10.53
Portugal,MtCO2e,12.02,12.34,12.05,11.68,12.49,12.47,12.96,13.78,15.05,15.57,15.91,15.09,15.49,13.86,13.80,13.71,13.52,14.40,13.57,12.15,12.63,11.74,10.85,11.08,11.68,11.62,10.93,11.28,10.63,10.30
Tunisia,MtCO2e,4.98,5.01,5.34,5.14,5.11,5.34,5.45,5.48,5.78,5.98,6.74,6.86,6.93,7.67,8.17,8.12,8.74,8.84,9.10,8.55,8.99,8.21,8.58,8.79,10.08,10.29,10.07,9.80,9.57,9.72
Sweden,MtCO2e,15.06,14.46,16.12,17.27,17.61,18.07,18.45,17.33,17.53,17.69,17.22,15.69,16.10,15.68,15.90,14.49,13.68,13.45,12.94,10.05,12.33,11.73,10.99,10.36,9.93,10.22,9.90,9.81,9.87,9.68
Slovakia,MtCO2e,17.37,15.49,15.82,13.01,13.99,12.96,13.75,13.41,12.76,11.97,12.24,11.15,11.62,11.23,11.25,11.38,11.83,11.66,11.50,9.36,9.27,9.15,9.06,9.13,9.45,9.44,9.58,10.01,10.58,9.67
Ethiopia,MtCO2e,0.70,0.69,0.40,0.55,0.73,0.84,0.93,1.02,1.10,1.06,1.25,1.44,1.49,1.53,1.77,1.91,2.08,2.16,2.31,2.26,2.63,3.58,4.03,5.05,6.38,6.89,8.08,8.46,9.10,9.56
New Zealand,MtCO2e,7.48,7.62,7.19,7.21,7.20,6.97,7.21,6.97,6.59,6.64,7.16,7.62,8.11,7.77,7.31,6.58,6.73,7.34,7.43,7.02,7.39,7.23,7.51,8.42,9.22,9.06,8.84,8.75,8.70,9.38
