Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Honduras,MtCO2e,1.07,1.06,1.19,1.35,1.57,1.59,1.54,1.69,1.87,2.17,2.17,2.31,2.31,2.35,2.39,2.18,2.04,3.23,3.11,3.04,3.04,3.13,3.25,3.24,3.37,4.07,4.12,4.02,4.21,4.35
C̫te d'Ivoire,MtCO2e,1.23,1.21,1.17,1.13,1.13,1.26,1.29,1.42,1.25,1.46,1.32,1.29,1.45,1.06,1.17,1.25,1.31,1.32,1.60,1.58,1.52,1.62,2.41,2.62,2.77,3.24,3.94,3.66,4.07,4.34
Bosnia and Herzegovina,MtCO2e,2.25,1.91,1.09,0.87,0.99,1.02,1.05,1.08,1.43,1.38,2.14,2.18,2.09,2.10,2.45,2.36,2.95,3.12,3.45,3.57,3.48,3.48,3.25,2.88,3.03,3.16,3.68,3.84,3.82,4.08
Georgia,MtCO2e,3.82,2.89,2.39,2.05,1.52,1.07,2.61,1.95,1.29,1.16,0.98,1.19,1.25,1.28,1.24,1.56,1.62,2.12,1.79,2.23,2.32,2.37,2.52,3.17,3.54,3.89,4.42,3.98,3.87,4.01
Bahrain,MtCO2e,1.02,1.04,1.15,1.19,1.21,1.26,1.29,1.35,1.43,1.48,1.57,1.64,1.83,1.99,2.18,2.55,2.67,2.90,3.17,3.13,3.21,3.03,3.25,3.37,3.47,3.62,3.70,3.82,3.93,3.85
El Salvador,MtCO2e,1.30,1.41,1.64,1.79,1.91,2.17,2.15,2.19,2.35,2.67,2.59,2.60,2.53,2.75,2.91,3.13,3.01,3.23,3.03,3.13,3.09,3.19,2.81,2.85,2.87,3.38,3.53,3.46,3.57,3.84
Burkina Faso,MtCO2e,0.27,0.28,0.28,0.29,0.28,0.35,0.36,0.36,0.42,0.51,0.53,0.56,0.57,0.59,0.60,0.67,0.79,0.93,1.04,0.98,1.24,1.30,1.65,1.79,1.86,1.88,2.21,2.80,3.18,3.42
Cameroon,MtCO2e,1.80,1.61,1.61,1.73,1.80,1.75,1.77,1.87,1.92,1.68,1.90,1.91,2.11,2.15,2.22,2.16,1.92,2.19,2.24,2.58,2.74,2.92,3.10,3.30,3.52,3.25,3.35,3.27,3.20,3.32
Latvia,MtCO2e,3.19,2.92,2.56,2.37,2.19,2.09,2.01,2.04,2.02,1.98,2.20,2.60,2.68,2.83,2.97,3.10,3.42,3.86,3.65,3.20,3.28,2.91,2.82,2.85,2.97,3.15,3.17,3.32,3.33,3.31
Jamaica,MtCO2e,1.12,1.06,1.10,1.19,1.20,1.44,1.65,1.74,1.89,1.98,1.99,1.94,2.13,2.12,2.18,2.27,2.21,2.13,2.10,2.05,1.91,1.90,1.56,1.66,1.74,1.70,1.86,2.01,2.32,2.54
Laos,MtCO2e,false,false,false,false,false,false,false,false,false,false,0.79,0.89,0.91,0.95,0.98,1.03,1.09,1.20,1.38,1.54,1.55,1.54,1.72,1.96,2.28,2.40,3.05,3.10,3.18,2.52
Estonia,MtCO2e,2.44,2.22,1.11,1.20,1.43,1.43,1.57,1.62,1.71,1.71,1.70,2.03,2.15,2.07,2.11,2.21,2.38,2.51,2.43,2.19,2.31,2.31,2.34,2.29,2.29,2.35,2.40,2.49,2.53,2.48
Botswana,MtCO2e,0.67,0.73,0.84,0.82,0.79,0.92,0.93,1.00,1.07,1.16,1.26,1.35,1.28,1.38,1.51,1.54,1.67,1.77,2.04,1.89,1.99,2.08,2.11,2.20,2.28,2.37,2.32,2.36,2.43,2.47
Democratic Republic of the Congo,MtCO2e,0.59,0.50,0.45,0.46,0.47,0.47,0.47,0.46,0.47,0.45,0.81,0.66,0.71,0.84,0.92,1.14,1.23,1.37,1.55,1.55,1.70,2.18,2.16,3.39,4.61,2.73,1.94,2.19,2.12,2.24
